country,consulate,no_visas,issued_visas,denied_visas
BELARUS,MINSK,143730,143387,343
RUSSIAN FEDERATION,KALININGRAD,80459,79894,565
BELARUS,BREST,74306,74095,211
BELARUS,GRODNO,60178,60129,49
RUSSIAN FEDERATION,MOSCOW,39936,38922,1014
UKRAINE,LVIV,10909,10215,694
CHINA,SHANGHAI,10621,10199,422
CHINA,BEIJING,9719,9077,642
UKRAINE,LUTSK,7283,7021,262
TURKEY,ISTANBUL,6061,5588,473
INDIA,MUMBAI,5105,4629,476
INDIA,NEW DELHI,4614,3644,970
ARMENIA,YEREVAN,3537,3217,320
KAZAKHSTAN,ALMATY,3224,2942,282
TURKEY,ANKARA,2901,2635,266
RUSSIAN FEDERATION,IRKUTSK,2634,2621,13
KAZAKHSTAN,ASTANA,2597,2506,91
EGYPT,CAIRO,2550,1906,644
UKRAINE,KYIV,2468,2352,116
UZBEKISTAN,TASHKENT,2445,2069,376
UNITED KINGDOM,LONDON,2352,2305,26
IRAQ,ERBIL,2249,845,1404
SOUTH AFRICA,PRETORIA,2184,2111,73
IRAN,TEHERAN,2178,1528,650
THAILAND,BANGKOK,2051,1991,60
RUSSIAN FEDERATION,ST. PETERSBURG,1929,1855,74
UKRAINE,VINNYTSYA,1828,1711,117
UNITED ARAB EMIRATES,ABU DHABI,1762,1383,379
SAUDI ARABIA,RIYADH,1718,1555,163
QATAR,DOHA,1633,1417,216
INDONESIA,JAKARTA,1441,1433,8
UKRAINE,KHARKIV,1361,1183,178
LEBANON,BEIRUT,1271,1198,73
NIGERIA,ABUJA,1219,502,717
CHINA,CHENGDU,1215,1200,15
JORDAN,AMMAN,1144,965,179
ANGOLA,LUANDA,963,405,558
NORTH MACEDONIA,SKOPJE,922,739,183
PAKISTAN,ISLAMABAD,921,530,391
MOROCCO,RABAT,889,683,206
VIETNAM,HANOI,862,862,0
KUWAIT,KUWAIT,814,690,124
USA,"LOS ANGELES, CA",800,799,1
UKRAINE,ODESA,783,684,99
USA,"NEW YORK, NY",700,671,29
TUNISIA,TUNIS,652,497,155
KENYA,NAIROBI,620,448,172
ISRAEL,TEL AVIV,527,510,17
SENEGAL,DAKAR,443,208,235
SINGAPORE,SINGAPORE,423,403,20
TANZANIA,DAR ES SALAAM,348,265,83
IRELAND,DUBLIN,347,328,19
USA,"CHICAGO, IL",326,325,1
ETHIOPIA,ADDIS ABEBA,321,249,72
SYRIA,DAMASCUS,293,141,152
CANADA,TORONTO,241,233,8
CUBA,HAVANA,227,190,37
AUSTRALIA,SYDNEY,224,221,3
USA,"WASHINGTON, DC",224,223,1
BULGARIA,SOFIA,222,204,18
HONG KONG S.A.R.,HONG KONG,215,213,2
JAPAN,TOKYO,208,200,8
ROMANIA,BUCHAREST,205,183,22
ALBANIA,TIRANA,179,146,33
MALAYSIA,KUALA LUMPUR,159,82,77
CYPRUS,NICOSIA,121,97,24
SERBIA,BELGRADE,116,100,16
SOUTH KOREA,SEOUL,116,97,19
NORTH KOREA,PYONGYANG,100,91,9
MOLDOVA,CHISINAU,88,83,5
CANADA,VANCOUVER,81,80,1
GEORGIA,TBILISSI,80,43,37
CANADA,MONTREAL,72,71,1
VENEZUELA,CARACAS,57,55,2
CANADA,OTTAWA,36,35,1
NEW ZEALAND,WELLINGTON,35,35,0
USA,"HOUSTON, TX",33,33,0
TAIWAN,TAIPEI,28,28,0
GERMANY,BERLIN,21,21,0
MEXICO,MEXICO CITY,18,18,0
PERU,LIMA,18,18,0
BRAZIL,CURITIBA,16,6,10
BOSNIA AND HERZEGOVINA,SARAJEVO,15,15,0
AZERBAIJAN,BAKU,13,13,0
COLOMBIA,BOGOTA,13,7,6
CHILE,SANTIAGO DE CHILE,11,9,2
CROATIA,ZAGREB,9,9,0
SWEDEN,STOCKHOLM,8,8,0
FRANCE,PARIS,6,6,0
SWITZERLAND,BERN,6,6,0
ARGENTINA,BUENOS AIRES,4,3,1
DENMARK,COPENHAGEN,3,3,0
BELGIUM,BRUSSELS,2,2,0
CZECH REPUBLIC,PRAGUE,2,2,0
FINLAND,HELSINKI,2,1,1
GREECE,ATHENS,2,1,1
AUSTRIA,VIENNA,1,1,0
LATVIA,RIGA,1,1,0
